country,gdp_per_capita,life_expectancy,inflation_rate
France,41082.8119320747,82.1292682926829,5.22236748369736
Gabon,8409.20741452279,67.713,4.23124798274575
"Gambia, The",836.244875582631,64.859,11.5131198380505
Georgia,6729.84659930283,74.141,11.8981654203198
Germany,49686.1154582583,80.6080487804878,6.87257438551096
Ghana,2229.89122647803,65.246,31.2558951049016
Greece,20971.8349258283,80.7878048780488,9.64525981280638
Grenada,10535.4588771454,75.151,2.58053925907924
Guatemala,5358.70127494396,71.206,6.88512823344283
Guinea,1416.59612011764,60.432,10.4930409984424
Guinea-Bissau,873.437861875428,63.605,9.39075933985203
Guyana,17913.4928066879,69.888,6.11505550109937
Haiti,1760.62635668777,63.948,33.98393194707
Honduras,3003.28996826399,72.715,9.08963911525025
"Hong Kong SAR, China",48825.8441873536,83.6609756097561,1.88136707196852
Hungary,18483.6366867035,75.8682926829268,14.6081439492433
Iceland,75121.0152280628,82.119512195122,8.30875511558923
India,2347.44829434623,71.698,6.69903414079849
Indonesia,4730.83484836107,70.925,4.20946463714783
"Iran, Islamic Rep.",4405.09291519791,76.799,43.4884641742178
Iraq,6520.73154560584,72.037,4.99476596381041
Ireland,105234.511567597,82.509756097561,7.82945736434107
Israel,54949.621556429,82.7,4.41162725488366
Italy,35653.9042103495,82.7,8.20128991161714
Jamaica,6022.15339791763,71.481,10.3495688391272
Japan,34065.6438962526,83.9963414634146,2.49770278172251
Jordan,4332.25159897931,77.088,4.22915568897118
Kazakhstan,11255.3396437881,73.503,15.0278644440851
Kenya,2109.56288513137,63.549,7.65986268272222
Kiribati,2069.76720110559,66.269,5.34595440908903
"Korea, Rep.",32394.6833725203,82.6804878048781,5.0895136506284
Kosovo,5290.94747224687,77.623,11.5805104542013
Kuwait,39981.7690981957,80.5878048780488,3.98064961990316
Kyrgyz Republic,1739.72018344174,72.0487804878049,13.9229093174176
Lao PDR,2046.40440255621,68.715,22.9562225132056
Latvia,20227.2307431581,74.2780487804878,17.3102830198815
Lebanon,3654.35845534878,78.003,171.205491336641
Lesotho,1030.12579628833,56.812,8.27180389943026
Liberia,744.617175237387,61.934,7.59298486560314
Libya,5986.63694851258,74.462,4.51030149235701
Lithuania,25085.784063499,75.6439024390244,19.7050461518394
Luxembourg,123719.658915996,82.9463414634147,6.33600807777913
"Macao SAR, China",36909.9564090312,83.0804878048781,1.04502802369957
Madagascar,503.514533472879,63.068,8.16059031991847
Malawi,604.269751184515,66.037,20.953969729969
Malaysia,11748.0919307944,75.444,3.37869862549933
Maldives,11786.0091545343,80.76,2.33314337624572
Mali,969.72220560562,60.035,9.62147608489068
Malta,36224.2819955817,82.4487804878049,6.15375621933036
Mauritania,1960.35240077424,68.281,9.52526628622842
Mauritius,10223.7882316574,73.5146341463415,10.7737512242899
Mexico,11402.1410374782,73.973,7.89627619168551
"Micronesia, Fed. Sts.",3710.12448453257,66.961,5.40874375479069
Moldova,5744.29618434435,71.546,28.7372976766236
Mongolia,4993.51487463495,71.9007317073171,15.1509728200805
Montenegro,9990.20444616996,76.1878048780488,13.0403036347004
Morocco,3455.39624023438,75.161,6.65704202759066
Mozambique,578.251663751351,63.011,10.2794018093421
Namibia,4349.79908493314,64.19,6.08128114112416
Nepal,1385.91066274851,70.087,7.6507917679853
Netherlands,59123.318556487,81.6146341463415,10.0012078753473
New Zealand,48760.0381935936,81.9585365853658,7.17222476016446
Nicaragua,2322.89053964583,74.463,10.4674244465991
Niger,609.745147661683,60.398,4.22621791916397
Nigeria,2139.37478476974,54.079,18.8471877843274
